v cl cd
10.87 0.613 0.061
11.21 0.569 0.054
12.17 0.472 0.039
13.43 0.382 0.027
14.99 0.304 0.018
16.08 0.263 0.015
17.50 0.222 0.011
19.44 0.179 0.008
20.71 0.158 0.007
22.29 0.136 0.006
24.32 0.114 0.005
27.04 0.092 0.005
30.99 0.070 0.004
37.44 0.048 0.003
09.75 0.631 0.064
10.04 0.586 0.057
11.09 0.468 0.038
12.03 0.392 0.028
13.03 0.333 0.021
13.89 0.291 0.017
15.00 0.249 0.013
16.48 0.206 0.010
17.42 0.184 0.009
18.56 0.162 0.007
19.98 0.140 0.006
21.80 0.117 0.005
24.24 0.095 0.005
33.54 0.049 0.004
43.64 0.027 0.003
12.59 0.619 0.062
13.11 0.560 0.052
14.05 0.479 0.040
15.40 0.407 0.030
16.28 0.350 0.023
17.26 0.310 0.973
18.50 0.269 0.015
21.13 0.205 0.010
22.33 0.184 0.009
25.58 0.140 0.006
27.90 0.117 0.005
31.01 0.095 0.005
35.51 0.072 0.004
14.20 0.611 0.061
15.16 0.523 0.046
16.11 0.457 0.036
17.08 0.403 0.029
18.36 0.346 0.023
19.46 0.307 0.019
20.85 0.266 0.015
23.81 0.204 0.010
26.80 0.160 0.007
28.82 0.138 0.006
31.43 0.116 0.005
34.93 0.094 0.005
14.95 0.609 0.060
16.17 0.505 0.043
17.26 0.438 0.034
21.16 0.286 0.017
28.18 0.160 0.007
33.05 0.116 0.005













