v cl cd
09.75 0.631 0.064
10.04 0.586 0.057
10.87 0.613 0.061
11.09 0.468 0.038
11.21 0.569 0.054
12.03 0.392 0.028
12.17 0.472 0.039
12.59 0.619 0.062
13.03 0.333 0.021
13.11 0.560 0.052
13.43 0.382 0.027
13.89 0.291 0.017
13.97 0.557 0.052
14.05 0.479 0.040
14.20 0.611 0.061
14.29 0.335 0.022
14.33 0.526 0.047
14.73 0.315 0.019
14.74 0.493 0.042
14.95 0.609 0.060
14.99 0.304 0.018
15.00 0.249 0.013
15.16 0.523 0.046
15.23 0.294 0.017
15.40 0.407 0.030
15.56 0.552 0.051
15.79 0.273 0.015
16.08 0.263 0.015
16.11 0.457 0.036
16.17 0.505 0.043
16.28 0.350 0.023
16.44 0.252 0.014
16.48 0.206 0.010
16.50 0.386 0.027
16.95 0.455 0.036
17.08 0.403 0.029
17.18 0.230 0.012
17.26 0.310 0.973
17.26 0.438 0.034
17.42 0.184 0.009
17.50 0.222 0.011
18.36 0.346 0.023
18.50 0.269 0.015
18.56 0.162 0.007
19.44 0.179 0.008
19.46 0.307 0.019
19.98 0.140 0.006
20.71 0.158 0.007
20.85 0.266 0.015
21.13 0.205 0.010
21.16 0.286 0.017
21.80 0.117 0.005
22.29 0.136 0.006
22.33 0.184 0.009
23.81 0.204 0.010
24.24 0.095 0.005
24.32 0.114 0.005
25.58 0.140 0.006
26.80 0.160 0.007
27.04 0.092 0.005
27.90 0.117 0.005
28.18 0.160 0.007
28.82 0.138 0.006
30.99 0.070 0.004
31.01 0.095 0.005
31.43 0.116 0.005
33.05 0.116 0.005
33.54 0.049 0.004
34.93 0.094 0.005
35.51 0.072 0.004
37.44 0.048 0.003
43.64 0.027 0.003
14.50 0.296 0.018
15.04 0.275 0.016
15.65 0.253 0.014
16.36 0.231 0.012
17.19 0.209 0.010
18.17 0.187 0.009
19.36 0.165 0.008
12.53 0.485 0.041
13.51 0.412 0.031
14.52 0.354 0.024
15.40 0.313 0.019
15.92 0.293 0.017
16.51 0.272 0.015
17.18 0.250 0.013
17.96 0.229 0.012
18.86 0.207 0.010
19.94 0.185 0.009
21.24 0.163 0.008
22.85 0.141 0.006



