ESC_throttle voltage current force torque rotation_speed electrical_power
1208 23.89 2.16 0.49 0.12 2641 51.50
1318 23.87 5.54 1.04 0.25 3796 132.11
1392 23.82 9.08 1.39 0.36 4541 216.19
1463 23.77 13.59 2.01 0.48 5217 322.96
1536 23.69 19.42 2.60 0.61 5888 460.09
1584 23.62 24.17 3.02 0.71 6318 570.75
1657 23.51 32.32 3.62 0.87 6931 759.68
1697 23.44 37.50 4.08 0.96 7256 878.77
1769 23.29 47.79 4.76 1.13 7811 1112.93
1795 23.21 51.95 5.03 1.19 7994 1205.58
1843 23.08 60.17 5.51 1.31 8322 1387.71
1895 22.92 69.88 6.03 1.44 8672 1601.64
2000 22.71 88.95 6.81 1.68 9238 2019.86
