ESC_throttle voltage current force torque rotation_speed electrical_power
1225 32.90 3.10 1042 -0.33 2376 102
1322 32.87 6.94 2061 -0.58 3168 228
1405 32.70 11.93 3036 -0.84 3791 390
1487 32.44 17.98 3985 -1.10 4368 583
1567 32.06 25.66 5051 -1.39 4888 823
1643 31.68 34.16 6043 -1.66 5346 1082
1708 31.28 43.30 7002 -1.94 5710 1355
1793 30.78 55.57 8185 -2.24 6166 1710
1855 30.39 66.17 9041 -2.51 6474 2011
1931 29.87 80.63 10061 -2.80 6939 2409
1966 29.62 87.96 10535 -2.95 6879 2604
2000 29.38 95.29 11009 -3.09 6820 2799
