v cl cd
0.0000 1.0000 0.0700
0.4545 0.9800 0.0697
0.9091 0.9650 0.0698
1.3636 0.9500 0.0701
1.8182 0.9350 0.0703
2.2727 0.9200 0.0706
2.7273 0.9050 0.0708
3.1818 0.8900 0.0711
3.6364 0.8750 0.0713
4.0909 0.8600 0.0716
4.5455 0.8450 0.0718
5.0000 0.8300 0.0721
5.4545 0.8150 0.0723
5.9091 0.8000 0.0726
6.3636 0.7850 0.0728
6.8182 0.7700 0.0730
7.2727 0.7550 0.0733
7.7273 0.7400 0.0735
8.1818 0.7250 0.0737
8.6364 0.7100 0.0739
9.0909 0.6950 0.0742
9.5455 0.6800 0.0744
10.0000 0.6650 0.0746
10.4545 0.6500 0.0748
10.9091 0.6350 0.0750
11.3636 0.6200 0.0752
11.8182 0.6050 0.0754
12.2727 0.5900 0.0756
12.7273 0.5750 0.0758
13.1818 0.5600 0.0760
13.6364 0.5450 0.0762
14.0909 0.5300 0.0763
14.5455 0.5150 0.0765
15.0000 0.5000 0.0766
15.4545 0.4900 0.0767
15.9091 0.4800 0.0768
16.3636 0.4700 0.0769
16.8182 0.4600 0.0770
17.2727 0.4500 0.0771
17.7273 0.4400 0.0772
18.1818 0.4300 0.0773
18.6364 0.4200 0.0774
19.0909 0.4100 0.0775
19.5455 0.4000 0.0776
20.0000 0.3900 0.0776
20.4545 0.3800 0.0777
20.9091 0.3700 0.0778
21.3636 0.3600 0.0778
21.8182 0.3500 0.0779
22.2727 0.3400 0.0780
22.7273 0.3300 0.0780
23.1818 0.3200 0.0781
23.6364 0.3100 0.0781
24.0909 0.3000 0.0782
24.5455 0.2950 0.0782
25.0000 0.2900 0.0782
25.4545 0.2850 0.0783
25.9091 0.2800 0.0783
26.3636 0.2750 0.0783
26.8182 0.2700 0.0784
27.2727 0.2650 0.0784
27.7273 0.2600 0.0784
28.1818 0.2550 0.0785
28.6364 0.2500 0.0785
29.0909 0.2450 0.0785
29.5455 0.2400 0.0786
30.0000 0.2350 0.0786
30.4545 0.2300 0.0786
30.9091 0.2250 0.0786
31.3636 0.2200 0.0787
31.8182 0.2150 0.0787
32.2727 0.2100 0.0787
32.7273 0.2050 0.0787
33.1818 0.2000 0.0788
33.6364 0.1950 0.0788
34.0909 0.1900 0.0788
34.5455 0.1850 0.0788
35.0000 0.1800 0.0789
35.4545 0.1750 0.0789
35.9091 0.1700 0.0789
36.3636 0.1650 0.0789
36.8182 0.1600 0.0790
37.2727 0.1550 0.0790
37.7273 0.1500 0.0790
38.1818 0.1450 0.0790
38.6364 0.1400 0.0790
39.0909 0.1350 0.0791
39.5455 0.1300 0.0791
40.0000 0.1250 0.0791
40.4545 0.1200 0.0791
40.9091 0.1150 0.0791
41.3636 0.1100 0.0792
41.8182 0.1050 0.0792
42.2727 0.1000 0.0792
42.7273 0.0950 0.0792
43.1818 0.0900 0.0792
43.6364 0.0850 0.0793
44.0909 0.0800 0.0793
44.5455 0.0750 0.0793
45.0000 0.0700 0.0793
